Source,Target,weight
1.0,0.0,1.0
2.0,0.0,8.0
3.0,0.0,10.0
3.0,2.0,6.0
4.0,0.0,1.0
5.0,0.0,1.0
6.0,0.0,1.0
7.0,0.0,1.0
8.0,0.0,2.0
9.0,0.0,1.0
11.0,0.0,5.0
11.0,2.0,3.0
11.0,3.0,3.0
11.0,10.0,1.0
12.0,11.0,1.0
13.0,11.0,1.0
14.0,11.0,1.0
15.0,11.0,1.0
17.0,16.0,4.0
18.0,16.0,4.0
18.0,17.0,4.0
19.0,16.0,4.0
19.0,17.0,4.0
19.0,18.0,4.0
20.0,16.0,3.0
20.0,17.0,3.0
20.0,18.0,3.0
20.0,19.0,4.0
21.0,16.0,3.0
21.0,17.0,3.0
21.0,18.0,3.0
21.0,19.0,3.0
21.0,20.0,5.0
22.0,16.0,3.0
22.0,17.0,3.0
22.0,18.0,3.0
22.0,19.0,3.0
22.0,20.0,4.0
22.0,21.0,4.0
23.0,11.0,9.0
23.0,12.0,2.0
23.0,16.0,3.0
23.0,17.0,3.0
23.0,18.0,3.0
23.0,19.0,3.0
23.0,20.0,4.0
23.0,21.0,4.0
23.0,22.0,4.0
24.0,11.0,7.0
24.0,23.0,2.0
25.0,11.0,12.0
25.0,23.0,1.0
25.0,24.0,13.0
26.0,11.0,31.0
26.0,16.0,1.0
26.0,24.0,4.0
26.0,25.0,1.0
27.0,11.0,17.0
27.0,23.0,5.0
27.0,24.0,1.0
27.0,25.0,5.0
27.0,26.0,1.0
28.0,11.0,8.0
28.0,27.0,1.0
29.0,11.0,2.0
29.0,23.0,1.0
29.0,27.0,1.0
30.0,23.0,1.0
31.0,11.0,3.0
31.0,23.0,2.0
31.0,27.0,1.0
31.0,30.0,2.0
32.0,11.0,1.0
33.0,11.0,2.0
33.0,27.0,1.0
34.0,11.0,3.0
34.0,29.0,2.0
35.0,11.0,3.0
35.0,29.0,2.0
35.0,34.0,3.0
36.0,11.0,2.0
36.0,29.0,1.0
36.0,34.0,2.0
36.0,35.0,2.0
37.0,11.0,2.0
37.0,29.0,1.0
37.0,34.0,2.0
37.0,35.0,2.0
37.0,36.0,2.0
38.0,11.0,2.0
38.0,29.0,1.0
38.0,34.0,2.0
38.0,35.0,2.0
38.0,36.0,2.0
38.0,37.0,2.0
39.0,25.0,1.0
40.0,25.0,1.0
41.0,24.0,2.0
41.0,25.0,3.0
42.0,24.0,1.0
42.0,25.0,2.0
42.0,41.0,2.0
43.0,11.0,3.0
43.0,26.0,1.0
43.0,27.0,1.0
44.0,11.0,1.0
44.0,28.0,3.0
45.0,28.0,2.0
47.0,46.0,1.0
48.0,11.0,1.0
48.0,25.0,1.0
48.0,27.0,1.0
48.0,47.0,2.0
49.0,11.0,2.0
49.0,26.0,3.0
50.0,24.0,1.0
50.0,49.0,1.0
51.0,11.0,2.0
51.0,26.0,2.0
51.0,49.0,9.0
52.0,39.0,1.0
52.0,51.0,1.0
53.0,51.0,1.0
54.0,26.0,1.0
54.0,49.0,1.0
54.0,51.0,2.0
55.0,11.0,19.0
55.0,16.0,1.0
55.0,25.0,2.0
55.0,26.0,21.0
55.0,39.0,1.0
55.0,41.0,5.0
55.0,48.0,4.0
55.0,49.0,12.0
55.0,51.0,6.0
55.0,54.0,1.0
56.0,49.0,1.0
56.0,55.0,1.0
57.0,41.0,1.0
57.0,48.0,1.0
57.0,55.0,1.0
58.0,11.0,4.0
58.0,27.0,6.0
58.0,48.0,7.0
58.0,55.0,7.0
58.0,57.0,1.0
59.0,48.0,6.0
59.0,55.0,5.0
59.0,57.0,2.0
59.0,58.0,15.0
60.0,48.0,1.0
60.0,58.0,4.0
60.0,59.0,2.0
61.0,48.0,2.0
61.0,55.0,1.0
61.0,57.0,1.0
61.0,58.0,6.0
61.0,59.0,5.0
61.0,60.0,2.0
62.0,41.0,1.0
62.0,48.0,7.0
62.0,55.0,9.0
62.0,57.0,2.0
62.0,58.0,17.0
62.0,59.0,13.0
62.0,60.0,3.0
62.0,61.0,6.0
63.0,48.0,5.0
63.0,55.0,1.0
63.0,57.0,2.0
63.0,58.0,4.0
63.0,59.0,5.0
